ID,scientific_name,common_name_english,critical_habitat_status,critical_habitat_detail,critical_habitat_method,cosewic_status,schedule_status,sara_schedule,g_rank
1,Abronia umbellata,Pink Sand-verbena,Final,NA,Element Occurrences,Endangered,Endangered,Schedule 1,
2,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
3,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
4,Acipenser transmontanus,White Sturgeon,Proposed/Final,NA,NA,Non-active,Special Concern,NA,
5,Actaea elata,Tall Bugbane,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
6,Actaea elata,Tall Bugbane,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
7,Adiantum capillus-veneris,Southern Maidenhair Fern,Final,Detailed Polygon,"Critical Function Zone, Connective Habitat",Endangered,Endangered,Schedule 1,
8,Aegolius acadicus brooksi,Northern Saw-whet Owl brooksi subspecies,Final/Final,NA,"Element Occurrences, Habitat Features",Threatened,Threatened,Schedule 1,
9,Allogona townsendiana,Oregon Forestsnail,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,
10,Allogona townsendiana,Oregon Forestsnail,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,
11,Ambystoma mavortium,Western Tiger Salamander - Southern Mountain population,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
12,Ambystoma mavortium,Western Tiger Salamander - Southern Mountain population,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
13,Ammannia robusta,Scarlet Ammannia,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
14,Anarta edwardsii,Edwards' Beach Moth,Final,Detailed Polygon,"Element Occurrences, Habitat Features",Endangered,Endangered,Schedule 1,
15,Antennaria flagellaris,Stoloniferous Pussytoes,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
16,Antrozous pallidus,Pallid Bat,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
17,Antrozous pallidus,Pallid Bat,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
18,Apodemia mormo,Mormon Metalmark - Southern Mountain popluation,Final,Detailed Polygon,NA,Special Concern,Special Concern,Schedule 1,
19,Apodemia mormo,Mormon Metalmark - Southern Mountain popluation,Final,Detailed Polygon,NA,Special Concern,Special Concern,Schedule 1,
20,Ascaphus montanus,Rocky Mountain Tailed Frog,Final,Detailed Polygon,"Distinct Ecological Features, Critical Function Zone",Threatened,Threatened,Schedule 1,
21,Ascaphus montanus,Rocky Mountain Tailed Frog,Final,Detailed Polygon,"Distinct Ecological Features, Critical Function Zone",Threatened,Threatened,Schedule 1,
22,Azolla mexicana,Mexican Mosquito-fern,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
23,Balsamorhiza deltoidea,Deltoid Balsamroot,NA,NA,NA,Endangered,Endangered,Schedule 1,
